date,home_team,away_team,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,result,neutral,match_importance,elo_diff
1985-04-20,Nigeria,Kenya,1648.3066745422736,1490.656683372464,1654.4023813181448,1484.5609765965928,HOME_WIN,False,QUALIFICATION,157.6499911698097
1985-04-21,Ghana,Ivory Coast,1740.8474490239971,1622.532906296849,1748.149017141327,1615.231338179519,HOME_WIN,False,QUALIFICATION,118.31454272714814
1985-04-21,Bolivia,Venezuela,1371.5912098803974,1249.5741151219356,1375.799282568552,1245.366042433781,HOME_WIN,False,FRIENDLY,122.01709475846178
1985-04-21,Cameroon,Zambia,1674.7551257526557,1719.9780158498102,1674.7551257526557,1719.9780158498102,DRAW,False,QUALIFICATION,-45.222890097154504
1985-04-21,Madagascar,Egypt,1480.1120536220674,1659.1445721240316,1492.8343880422879,1646.422237703811,HOME_WIN,False,QUALIFICATION,-179.0325185019642
1985-04-21,Malta,Czechoslovakia,1259.30080340976,1722.050049754127,1259.30080340976,1722.050049754127,DRAW,False,QUALIFICATION,-462.74924634436707
1985-04-21,Togo,Mali,1483.2313619100623,1574.3851805442707,1491.337392218421,1566.279150235912,HOME_WIN,False,FRIENDLY,-91.15381863420839
1985-04-21,Malawi,Morocco,1581.2669590017924,1699.5978901803032,1581.2669590017924,1699.5978901803032,DRAW,False,QUALIFICATION,-118.33093117851081
1985-04-23,Peru,Uruguay,1554.6886325344572,1720.4864240671116,1559.625847315883,1715.5492092856857,HOME_WIN,False,FRIENDLY,-165.7977915326544
1985-04-24,Costa Rica,Trinidad and Tobago,1632.4807981608128,1600.253496682562,1641.3085581212088,1591.425736722166,HOME_WIN,False,OTHER,32.227301478250865
1985-04-24,Luxembourg,Iceland,1061.4293863183184,1344.1512008934637,1061.4293863183184,1344.1512008934637,DRAW,False,FRIENDLY,-282.72181457514534
1985-04-25,Brazil,Colombia,1938.0158390313861,1447.7344658796812,1938.2850030641935,1447.465301846874,HOME_WIN,False,FRIENDLY,490.2813731517049
1985-04-26,Haiti,Guatemala,1535.971158476505,1534.272442589672,1527.0667858601607,1543.1768152060163,AWAY_WIN,False,OTHER,1.6987158868330425
1985-04-26,Yemen,Kuwait,1253.7461749626848,1648.769702092712,1250.6710105166487,1651.844866538748,AWAY_WIN,True,QUALIFICATION,-395.0235271300271
1985-04-27,Suriname,Guadeloupe,1577.934845850333,1495.6639296568947,1565.1206412390602,1508.4781342681674,AWAY_WIN,True,QUALIFICATION,82.27091619343832
1985-04-28,Costa Rica,Trinidad and Tobago,1641.3085581212088,1591.425736722166,1641.3085581212088,1591.425736722166,DRAW,False,OTHER,49.88282139904277
1985-04-28,Bangladesh,Indonesia,1341.5556992612417,1389.868503802059,1341.5556992612417,1389.868503802059,DRAW,True,FRIENDLY,-48.3128045408173
1985-04-28,Brazil,Peru,1938.2850030641935,1559.625847315883,1930.4645006091698,1567.4463497709066,AWAY_WIN,False,FRIENDLY,378.65915574831047
1985-04-28,Macau,Hong Kong,1400.3516614177224,1458.6374188589207,1381.9033853272697,1477.0856949493734,AWAY_WIN,False,QUALIFICATION,-58.28575744119826
1985-04-28,Pakistan,North Korea,1405.3273855896296,1646.109639677072,1405.3273855896296,1646.109639677072,DRAW,False,FRIENDLY,-240.78225408744242
1985-04-28,Paraguay,Argentina,1539.8731750608565,1829.3209194164199,1546.0988988126715,1823.095195664605,HOME_WIN,False,FRIENDLY,-289.4477443555634
1985-04-28,Colombia,Uruguay,1447.465301846874,1715.5492092856857,1453.4926432786147,1709.521867853945,HOME_WIN,False,FRIENDLY,-268.0839074388118
1985-04-29,North Korea,Nepal,1646.109639677072,1298.4438469647453,1649.0806756391826,1295.4728110026347,HOME_WIN,True,FRIENDLY,347.6657927123267
1985-04-30,Czechoslovakia,Germany,1722.050049754127,1920.2969679732767,1704.5588468373064,1937.7881708900973,AWAY_WIN,False,QUALIFICATION,-198.24691821914962
1985-04-30,North Korea,Japan,1649.0806756391826,1637.9771160726966,1649.0806756391826,1637.9771160726966,DRAW,False,QUALIFICATION,11.103559566485956
1985-04-30,Pakistan,Nepal,1405.3273855896296,1295.4728110026347,1407.240900754507,1293.5592958377572,HOME_WIN,False,FRIENDLY,109.85457458699489
1985-04-30,Wales,Spain,1610.6360457853798,1727.1163454063612,1632.4160867937449,1705.3363043979962,HOME_WIN,False,QUALIFICATION,-116.48029962098144
1985-05-01,Republic of Ireland,Norway,1547.1322163295413,1406.1738267706928,1547.1322163295413,1406.1738267706928,DRAW,False,QUALIFICATION,140.95838955884847
1985-05-01,Luxembourg,Yugoslavia,1061.4293863183184,1664.436395157705,1060.340290807973,1665.5254906680505,AWAY_WIN,False,QUALIFICATION,-603.0070088393866
1985-05-01,Bolivia,Peru,1375.799282568552,1567.4463497709066,1375.799282568552,1567.4463497709066,DRAW,False,FRIENDLY,-191.64706720235472
1985-05-01,Israel,Sweden,1605.3552394576877,1667.6635493586748,1605.3552394576877,1667.6635493586748,DRAW,False,FRIENDLY,-62.30830990098707
1985-05-01,Northern Ireland,Turkey,1602.785912150357,1392.480535172437,1607.5164830399806,1387.7499642828134,HOME_WIN,False,QUALIFICATION,210.3053769779201
1985-05-01,Netherlands,Austria,1780.2640310985278,1674.284506764865,1780.2640310985278,1674.284506764865,DRAW,False,QUALIFICATION,105.97952433366277
1985-05-01,Romania,England,1631.8393360744753,1897.9702105152944,1631.8393360744753,1897.9702105152944,DRAW,False,QUALIFICATION,-266.13087444081907
1985-05-01,Tunisia,Algeria,1658.933476987227,1740.0277187148556,1662.8662769391165,1736.0949187629662,HOME_WIN,False,FRIENDLY,-81.09424172762851
1985-05-01,Belgium,Poland,1673.867959490809,1810.4003011095017,1692.0735480406888,1792.1947125596218,HOME_WIN,False,QUALIFICATION,-136.53234161869273
1985-05-02,Brazil,Uruguay,1930.4645006091698,1709.521867853945,1932.2596422668316,1707.7267261962832,HOME_WIN,False,FRIENDLY,220.94263275522485
1985-05-02,Bulgaria,France,1586.4109169630417,1859.5768959764416,1610.4848162916683,1835.502996647815,HOME_WIN,False,QUALIFICATION,-273.1659790133999
1985-05-02,Indonesia,North Korea,1389.868503802059,1649.0806756391826,1385.2870791483488,1653.6621002928928,AWAY_WIN,True,FRIENDLY,-259.2121718371236
1985-05-02,Pakistan,Bangladesh,1407.240900754507,1341.5556992612417,1397.724226469545,1351.0723735462036,AWAY_WIN,False,FRIENDLY,65.68520149326537
1985-05-02,Russia,Switzerland,1881.0481313625132,1556.1052300564504,1887.4930306317792,1549.6603307871844,HOME_WIN,True,QUALIFICATION,324.9429013060628
1985-05-02,Zimbabwe,Malawi,1555.2989323771226,1581.2669590017924,1547.323575512388,1589.242315866527,AWAY_WIN,False,FRIENDLY,-25.968026624669847
1985-05-04,Bangladesh,North Korea,1351.0723735462036,1653.6621002928928,1349.8323730398631,1654.9021007992333,AWAY_WIN,True,FRIENDLY,-302.58972674668917
1985-05-04,Hong Kong,Macau,1477.0856949493734,1381.9033853272697,1485.172083251802,1373.8169970248412,HOME_WIN,False,QUALIFICATION,95.18230962210373
1985-05-04,Pakistan,Indonesia,1397.724226469545,1385.2870791483488,1389.0708315746365,1393.9404740432574,AWAY_WIN,False,FRIENDLY,12.437147321196335
1985-05-05,Brazil,Argentina,1932.2596422668316,1823.095195664605,1934.1790167124545,1821.175821218982,HOME_WIN,False,FRIENDLY,109.16444660222669
1985-05-05,Guatemala,Canada,1543.1768152060163,1515.4674279249539,1543.1768152060163,1515.4674279249539,DRAW,False,OTHER,27.70938728106239
1985-05-05,Iraq,Qatar,1755.60891081631,1558.5027695508602,1760.668335527117,1553.4433448400532,HOME_WIN,True,QUALIFICATION,197.10614126544988
1985-05-05,Trinidad and Tobago,Suriname,1591.425736722166,1565.1206412390602,1577.4069299242415,1579.1394480369847,AWAY_WIN,False,QUALIFICATION,26.305095483105788
1985-05-06,Guernsey,Jersey,1612.097606669982,1680.5789375123122,1618.4019883862966,1674.2745557959977,HOME_WIN,False,OTHER,-68.48133084233018
1985-05-07,Austria,Cyprus,1674.284506764865,1159.5157821663993,1675.6473286895232,1158.152960241741,HOME_WIN,False,QUALIFICATION,514.7687245984657
1985-05-08,Denmark,German DR,1673.8955113476427,1696.879516358518,1680.399097400495,1690.3759303056656,HOME_WIN,False,FRIENDLY,-22.984005010875308
1985-05-08,Haiti,Canada,1527.0667858601607,1515.4674279249539,1512.6683788013029,1529.8658349838117,AWAY_WIN,False,OTHER,11.599357935206854
1985-05-09,Argentina,Paraguay,1821.175821218982,1546.0988988126715,1821.175821218982,1546.0988988126715,DRAW,False,FRIENDLY,275.0769224063106
1985-05-10,Mauritania,Senegal,1303.378476121218,1629.3576856621096,1303.378476121218,1629.3576856621096,DRAW,False,FRIENDLY,-325.9792095408916
1985-05-12,China PR,Macau,1705.4026693420783,1373.8169970248412,1709.895303447161,1369.3243629197584,HOME_WIN,False,QUALIFICATION,331.58567231723714
1985-05-14,Argentina,Chile,1821.175821218982,1629.7606856818861,1823.2511977278352,1627.685309173033,HOME_WIN,False,FRIENDLY,191.41513553709592
1985-05-14,Hungary,Netherlands,1716.2588297263947,1780.2640310985278,1704.788294524917,1791.7345663000053,AWAY_WIN,False,QUALIFICATION,-64.00520137213312
1985-05-15,Colombia,Brazil,1453.4926432786147,1934.1790167124545,1460.9742675916684,1926.6973923994008,HOME_WIN,False,FRIENDLY,-480.6863734338399
1985-05-15,Guatemala,Haiti,1543.1768152060163,1512.6683788013029,1553.4947704191923,1502.350423588127,HOME_WIN,False,OTHER,30.508436404713393
1985-05-15,United States,Trinidad and Tobago,1426.67623070105,1577.4069299242415,1434.6126672957669,1569.4704933295245,HOME_WIN,False,OTHER,-150.73069922319155
1985-05-18,German DR,Luxembourg,1690.3759303056656,1060.340290807973,1690.8616972815921,1059.8545238320467,HOME_WIN,False,QUALIFICATION,630.0356394976927
1985-05-18,Japan,Singapore,1637.9771160726966,1350.6872721697198,1643.1986365915607,1345.4657516508557,HOME_WIN,False,QUALIFICATION,287.2898439029768
1985-05-19,Greece,Poland,1442.233614857117,1792.1947125596218,1434.2603278491565,1800.1679995675822,AWAY_WIN,False,QUALIFICATION,-349.96109770250496
1985-05-19,China PR,Hong Kong,1709.895303447161,1485.172083251802,1691.8795980158377,1503.1877886831253,AWAY_WIN,False,QUALIFICATION,224.7232201953591
1985-05-19,United States,Trinidad and Tobago,1434.6126672957669,1569.4704933295245,1442.2372419559197,1561.8459186693717,HOME_WIN,False,OTHER,-134.85782603375765
1985-05-19,South Korea,Malaysia,1759.0160485714628,1544.4165838812585,1763.6473491163322,1539.785283336389,HOME_WIN,False,QUALIFICATION,214.5994646902043
1985-05-21,Chile,Brazil,1627.685309173033,1926.6973923994008,1633.9960595337866,1920.386642038647,HOME_WIN,False,FRIENDLY,-299.01208322636785
1985-05-22,Finland,England,1250.989181979848,1897.9702105152944,1250.989181979848,1897.9702105152944,DRAW,False,QUALIFICATION,-646.9810285354465
1985-05-22,Sweden,Norway,1667.6635493586748,1406.1738267706928,1668.5865464074163,1405.2508297219513,HOME_WIN,False,FRIENDLY,261.489722587982
1985-05-25,North Korea,Singapore,1654.9021007992333,1345.4657516508557,1657.7536088313745,1342.6142436187145,HOME_WIN,False,QUALIFICATION,309.43634914837753
